"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT06","WT08"
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-01-01","0.00","0.0","0.0","42","57","34",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-01-02","0.00","0.0","0.0","46","62","34",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-01-03","0.00","0.0","0.0","49","69","32",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-01-04","0.00","0.0","0.0","54","77","37",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-01-05","0.00","0.0","0.0","57","66","47",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-01-06","0.01","0.0","0.0","65","73","54",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-01-07","0.00","0.0","0.0","55","65","42",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-01-08","0.00","0.0","0.0","47","59","35",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-01-09","0.00","0.0","0.0","44","53","32",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-01-10","0.83","0.2","0.0","44","49","35","    1",,"    1","    1",,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-01-11","0.00","0.0","0.0","39","46","32",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-01-12","0.00","0.0","0.0","38","49","29",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-01-13","0.00","0.0","0.0","43","64","30",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-01-14","0.00","0.0","0.0","52","74","34",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-01-15","0.00","0.0","0.0","52","61","38",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-01-16","0.00","0.0","0.0","47","65","33",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2021-01-17","0.00","0.0","0.0","52","70","38",,,,,,
