latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
20.25469,-75.81931,308.18,1.55,1.23,2022-04-01,0330,T,74,6.1NRT,291.32,16.14,N
22.49692,-80.45529,302.59,1.01,1,2022-04-01,0332,T,50,6.1NRT,291.78,4.67,N
25.9423,-80.53675,305.96,1.04,1.02,2022-04-01,0332,T,66,6.1NRT,292.65,6.19,N
25.9723,-80.52075,304.22,1.04,1.02,2022-04-01,0332,T,27,6.1NRT,292.23,4.15,N
25.96955,-80.54127,320.76,1.04,1.02,2022-04-01,0332,T,100,6.1NRT,293,17.93,N
25.98232,-80.50774,311.91,1.04,1.02,2022-04-01,0332,T,84,6.1NRT,292.67,10.39,N
25.98096,-80.51802,310.56,1.04,1.02,2022-04-01,0332,T,80,6.1NRT,292.6,9.16,N
25.99006,-80.51952,318.53,1.04,1.02,2022-04-01,0332,T,97,6.1NRT,292.88,16.14,N
25.98871,-80.5298,313.08,1.04,1.02,2022-04-01,0332,T,86,6.1NRT,292.95,11.2,N
33.01693,-79.88662,300.9,1.28,1.12,2022-04-01,0334,T,11,6.1NRT,289.48,7.25,N
42.68335,-111.59477,309.1,1,1,2022-04-01,0516,T,76,6.1NRT,270.94,15,N
17.90541,-93.53211,301.3,4.79,2,2022-04-01,0508,T,40,6.1NRT,290.95,39.32,N
17.78222,-98.53287,303.17,2,1.38,2022-04-01,0508,T,43,6.1NRT,289.83,13.73,N
17.91866,-101.05489,302.38,1.34,1.15,2022-04-01,0508,T,31,6.1NRT,287.02,8.01,N
17.92612,-101.06065,304.86,1.34,1.15,2022-04-01,0508,T,39,6.1NRT,288.65,9.61,N
18.09567,-101.10342,305.45,1.33,1.14,2022-04-01,0508,T,58,6.1NRT,290.39,9.37,N
18.87694,-99.3428,314.82,1.81,1.32,2022-04-01,0508,T,90,6.1NRT,290.38,32.79,N
20.04905,-99.28529,300.87,1.9,1.35,2022-04-01,0508,T,35,6.1NRT,287.37,16.43,N
19.66247,-102.47408,310.73,1.17,1.08,2022-04-01,0508,T,57,6.1NRT,285.25,14.6,N
19.67635,-102.4718,303.34,1.17,1.08,2022-04-01,0508,T,51,6.1NRT,283.15,9.01,N
20.05416,-99.29226,301.48,1.9,1.35,2022-04-01,0508,T,41,6.1NRT,285.63,17.29,N
19.68731,-102.46239,300.24,1.17,1.08,2022-04-01,0508,T,12,6.1NRT,283.67,7.08,N
19.90613,-103.41501,316.5,1.07,1.03,2022-04-01,0508,T,93,6.1NRT,285.37,19,N
19.91532,-103.41645,335.38,1.07,1.03,2022-04-01,0508,T,100,6.1NRT,288.69,42.45,N
19.914,-103.42638,340.69,1.07,1.03,2022-04-01,0508,T,100,6.1NRT,290.58,51.79,N
19.92313,-103.4135,303.72,1.07,1.03,2022-04-01,0508,T,57,6.1NRT,283.12,9.58,N
19.92183,-103.42349,349.62,1.07,1.03,2022-04-01,0508,T,100,6.1NRT,290.55,71.49,N
19.92053,-103.43341,330.78,1.07,1.03,2022-04-01,0508,T,100,6.1NRT,286.83,35.76,N
20.70139,-103.85093,304.06,1.05,1.02,2022-04-01,0510,T,58,6.1NRT,285.72,8.23,N
20.95401,-103.32023,302.43,1.1,1.05,2022-04-01,0510,T,49,6.1NRT,280.68,7.65,N
21.35839,-104.83932,333.13,1.01,1,2022-04-01,0510,T,100,6.1NRT,285.9,36.22,N
21.35707,-104.84892,313.24,1.01,1,2022-04-01,0510,T,87,6.1NRT,284.17,14.83,N
22.12441,-99.10173,308.63,2.09,1.41,2022-04-01,0510,T,75,6.1NRT,289.8,31.65,N
22.77558,-99.0767,327.54,2.14,1.42,2022-04-01,0510,T,100,6.1NRT,291.33,79.34,N
22.8781,-104.48094,300.1,1.04,1.02,2022-04-01,0510,T,17,6.1NRT,285.85,6.1,N
24.23235,-106.07027,302.43,1,1,2022-04-01,0512,T,49,6.1NRT,282.84,7.28,N
24.23098,-106.07996,314.89,1,1,2022-04-01,0512,T,90,6.1NRT,283.88,15.85,N
24.23988,-106.08147,316.26,1,1,2022-04-01,0512,T,93,6.1NRT,284.85,16.67,N
25.29326,-100.22134,306.7,1.92,1.35,2022-04-01,0512,T,53,6.1NRT,283.43,23.2,N
25.30798,-100.19791,307.81,1.93,1.36,2022-04-01,0512,T,38,6.1NRT,286.5,23.41,N
26.47855,-106.33151,304.08,1,1,2022-04-01,0512,T,43,6.1NRT,278.95,9.07,N
26.47717,-106.34142,305.11,1,1,2022-04-01,0512,T,63,6.1NRT,278.68,10.23,N
26.47579,-106.35133,305.35,1,1,2022-04-01,0512,T,55,6.1NRT,278.47,10.02,N
26.65124,-105.74351,306.46,1.02,1.01,2022-04-01,0512,T,68,6.1NRT,282.71,10.7,N
26.00002,-80.50913,387.84,1.54,1.22,2022-04-01,1539,T,87,6.1NRT,294.83,342.85,D
25.98731,-80.49529,345.24,1.54,1.22,2022-04-01,1539,T,93,6.1NRT,294.94,81.02,D
25.98559,-80.48003,356.75,1.54,1.22,2022-04-01,1539,T,98,6.1NRT,295.06,131.16,D
25.97634,-80.49673,341.97,1.54,1.22,2022-04-01,1539,T,86,6.1NRT,291.81,71.02,D
25.97463,-80.48148,356.87,1.54,1.22,2022-04-01,1539,T,98,6.1NRT,295.56,131.34,D
25.96367,-80.48292,342.58,1.54,1.22,2022-04-01,1539,T,91,6.1NRT,295.25,77.03,D
25.88529,-80.4993,319.56,1.54,1.22,2022-04-01,1539,T,71,6.1NRT,292.35,20.85,D
22.94118,-81.09698,320.97,1.54,1.22,2022-04-01,1539,T,49,6.1NRT,299.51,12.33,D
22.76472,-79.8839,321.29,1.28,1.12,2022-04-01,1539,T,67,6.1NRT,302.46,11.82,D
22.78808,-80.94427,321.48,1.49,1.21,2022-04-01,1539,T,23,6.1NRT,303.66,13.29,D
22.65684,-80.91602,348.53,1.48,1.2,2022-04-01,1539,T,94,6.1NRT,302.12,85.38,D
22.80122,-82.39859,318.81,1.89,1.34,2022-04-01,1539,T,55,6.1NRT,297.71,12.49,D
22.65658,-81.19807,328.52,1.55,1.23,2022-04-01,1539,T,78,6.1NRT,301.02,30.84,D
22.67715,-83.06937,332,2.1,1.41,2022-04-01,1541,T,83,6.1NRT,298,67.79,D
22.67672,-83.07619,329.34,2.1,1.41,2022-04-01,1541,T,81,6.1NRT,298.04,55.42,D
22.21704,-80.3909,337.99,1.35,1.15,2022-04-01,1541,T,82,6.1NRT,295.87,48.36,D
21.98454,-78.79385,331.33,1.11,1.05,2022-04-01,1541,T,81,6.1NRT,302.84,24.56,D
